Aleatório,Estimado,Correto,Diferença,K
1.0,-0.01739,2.5,-2.51739,50.0
1.0,-0.03199,2.5,-2.53199,100.0
5.0,0.18883,2.5,-2.31117,150.0
1.0,0.02519,2.5,-2.47481,200.0
3.0,0.34781,2.5,-2.15219,250.0
1.0,0.26393,2.5,-2.23607,300.0
3.0,0.85356,2.5,-1.64644,350.0
3.0,1.44878,2.5,-1.05122,400.0
5.0,2.95665,2.5,0.4566499999999998,450.0
1.0,1.31262,2.5,-1.18738,500.0
4.0,1.12631,2.5,-1.37369,351.0
3.0,0.86173,2.5,-1.63827,352.0
3.0,0.86279,2.5,-1.63721,353.0
4.0,1.13794,2.5,-1.36206,354.0
5.0,1.43755,2.5,-1.06245,355.0
1.0,0.37612,2.5,-2.12388,356.0
3.0,0.88313,2.5,-1.61687,357.0
5.0,1.45025,2.5,-1.04975,358.0
3.0,0.88281,2.5,-1.61719,359.0
1.0,0.38793,2.5,-2.11207,360.0
2.0,0.63938,2.5,-1.86062,361.0
1.0,0.39685,2.5,-2.10315,362.0
1.0,0.39681,2.5,-2.10319,363.0
2.0,0.64915,2.5,-1.85085,364.0
4.0,1.22278,2.5,-1.27722,365.0
3.0,0.94021,2.5,-1.55979,366.0
3.0,0.93974,2.5,-1.56026,367.0
3.0,0.94606,2.5,-1.55394,368.0
2.0,0.69524,2.5,-1.80476,369.0
4.0,1.29573,2.5,-1.20427,370.0
2.0,0.72728,2.5,-1.77272,371.0
1.0,0.48502,2.5,-2.01498,372.0
1.0,0.47948,2.5,-2.02052,373.0
2.0,0.78179,2.5,-1.71821,374.0
1.0,0.48786,2.5,-2.01214,375.0
1.0,0.48779,2.5,-2.01221,376.0
2.0,0.79502,2.5,-1.70498,377.0
2.0,0.84404,2.5,-1.65596,378.0
5.0,1.8477,2.5,-0.6523000000000001,379.0
2.0,0.86507,2.5,-1.63493,380.0
2.0,0.86888,2.5,-1.63112,381.0
5.0,1.88921,2.5,-0.6107899999999999,382.0
3.0,1.19063,2.5,-1.30937,383.0
1.0,0.5772,2.5,-1.9228,384.0
2.0,0.88653,2.5,-1.61347,385.0
2.0,0.88732,2.5,-1.61268,386.0
3.0,1.20806,2.5,-1.29194,387.0
5.0,1.92096,2.5,-0.57904,388.0
4.0,1.54724,2.5,-0.95276,389.0
3.0,1.20061,2.5,-1.29939,390.0
1.0,0.61898,2.5,-1.88102,391.0
3.0,1.29593,2.5,-1.20407,392.0
5.0,2.05465,2.5,-0.4453499999999999,393.0
3.0,1.35094,2.5,-1.14906,394.0
3.0,1.34586,2.5,-1.15414,395.0
1.0,0.65265,2.5,-1.84735,396.0
2.0,1.04251,2.5,-1.45749,397.0
3.0,1.42132,2.5,-1.07868,398.0
5.0,2.24044,2.5,-0.25956,399.0
4.0,1.82957,2.5,-0.6704300000000001,400.0
1.0,0.75423,2.5,-1.74577,401.0
4.0,1.83377,2.5,-0.6662300000000001,402.0
5.0,2.26738,2.5,-0.2326199999999998,403.0
2.0,1.09979,2.5,-1.40021,404.0
3.0,1.47773,2.5,-1.02227,405.0
1.0,0.75918,2.5,-1.74082,406.0
1.0,0.75711,2.5,-1.74289,407.0
4.0,1.87899,2.5,-0.6210100000000001,408.0
4.0,1.87917,2.5,-0.62083,409.0
1.0,0.75288,2.5,-1.74712,410.0
5.0,2.335,2.5,-0.165,411.0
1.0,0.76206,2.5,-1.73794,412.0
4.0,1.91279,2.5,-0.58721,413.0
5.0,2.43195,2.5,-0.0680499999999999,414.0
2.0,1.17376,2.5,-1.32624,415.0
5.0,2.43786,2.5,-0.0621399999999998,416.0
3.0,1.57326,2.5,-0.92674,417.0
1.0,0.80928,2.5,-1.69072,418.0
4.0,2.01436,2.5,-0.48564,419.0
2.0,1.20841,2.5,-1.29159,420.0
2.0,1.20452,2.5,-1.29548,421.0
4.0,2.03039,2.5,-0.4696099999999998,422.0
1.0,0.85118,2.5,-1.64882,423.0
1.0,0.83541,2.5,-1.66459,424.0
4.0,2.05059,2.5,-0.4494099999999998,425.0
5.0,2.50988,2.5,0.0098799999999998,426.0
2.0,1.21015,2.5,-1.28985,427.0
1.0,0.82314,2.5,-1.67686,428.0
2.0,1.22303,2.5,-1.27697,429.0
3.0,1.62062,2.5,-0.87938,430.0
5.0,2.52289,2.5,0.0228899999999998,431.0
4.0,2.08033,2.5,-0.41967,432.0
4.0,2.08737,2.5,-0.41263,433.0
5.0,2.63442,2.5,0.1344199999999999,434.0
5.0,2.63418,2.5,0.1341800000000002,435.0
2.0,1.27207,2.5,-1.22793,436.0
2.0,1.28022,2.5,-1.21978,437.0
5.0,2.67555,2.5,0.1755499999999998,438.0
3.0,1.73285,2.5,-0.76715,439.0
4.0,2.18471,2.5,-0.31529,440.0
4.0,2.19668,2.5,-0.3033199999999998,441.0
3.0,1.7581,2.5,-0.7419,442.0
2.0,1.32449,2.5,-1.17551,443.0
2.0,1.32689,2.5,-1.17311,444.0
5.0,2.73352,2.5,0.2335199999999999,445.0
2.0,1.3276,2.5,-1.1724,446.0
1.0,0.96477,2.5,-1.53523,447.0
4.0,2.33264,2.5,-0.1673599999999999,448.0
4.0,2.36397,2.5,-0.1360299999999998,449.0
5.0,2.95665,2.5,0.4566499999999998,450.0
