Aleatório,Estimado,Correto,Diferença,K
2.0,0.0,2.5,-2.5,0.0
5.0,0.01129,2.5,-2.48871,1.0
1.0,0.0108,2.5,-2.4892,2.0
4.0,0.00505,2.5,-2.49495,3.0
1.0,-0.0041,2.5,-2.5041,4.0
4.0,-0.00625,2.5,-2.50625,5.0
4.0,-0.00597,2.5,-2.50597,6.0
3.0,-0.01096,2.5,-2.51096,7.0
2.0,-0.00869,2.5,-2.50869,8.0
2.0,-0.00169,2.5,-2.50169,9.0
3.0,-0.00146,2.5,-2.50146,10.0
4.0,0.00519,2.5,-2.49481,11.0
4.0,0.01587,2.5,-2.48413,12.0
4.0,0.01565,2.5,-2.48435,13.0
3.0,0.01304,2.5,-2.48696,14.0
3.0,0.01387,2.5,-2.48613,15.0
3.0,0.01334,2.5,-2.48666,16.0
1.0,0.01029,2.5,-2.48971,17.0
1.0,0.00261,2.5,-2.49739,18.0
1.0,0.00245,2.5,-2.49755,19.0
4.0,0.02521,2.5,-2.47479,20.0
2.0,0.00807,2.5,-2.49193,21.0
1.0,0.0031,2.5,-2.4969,22.0
3.0,0.01239,2.5,-2.48761,23.0
4.0,0.01705,2.5,-2.48295,24.0
5.0,0.02143,2.5,-2.47857,25.0
1.0,0.00138,2.5,-2.49862,26.0
4.0,0.01566,2.5,-2.48434,27.0
5.0,0.02915,2.5,-2.47085,28.0
1.0,0.00222,2.5,-2.49778,29.0
4.0,0.02416,2.5,-2.47584,30.0
3.0,0.01789,2.5,-2.48211,31.0
5.0,0.02965,2.5,-2.47035,32.0
2.0,0.01377,2.5,-2.48623,33.0
5.0,0.03201,2.5,-2.46799,34.0
1.0,0.01086,2.5,-2.48914,35.0
2.0,0.01664,2.5,-2.48336,36.0
2.0,0.01783,2.5,-2.48217,37.0
5.0,0.05536,2.5,-2.44464,38.0
2.0,0.03146,2.5,-2.46854,39.0
4.0,0.03772,2.5,-2.46228,40.0
1.0,0.00993,2.5,-2.49007,41.0
2.0,0.01214,2.5,-2.48786,42.0
2.0,0.00982,2.5,-2.49018,43.0
2.0,0.00858,2.5,-2.49142,44.0
2.0,0.00828,2.5,-2.49172,45.0
5.0,0.02905,2.5,-2.47095,46.0
2.0,-0.00904,2.5,-2.50904,47.0
4.0,0.01406,2.5,-2.48594,48.0
4.0,0.01503,2.5,-2.48497,49.0
5.0,0.02617,2.5,-2.47383,50.0
2.0,-0.00748,2.5,-2.50748,51.0
5.0,0.02796,2.5,-2.47204,52.0
1.0,-0.01789,2.5,-2.51789,53.0
2.0,-0.00571,2.5,-2.50571,54.0
2.0,-0.00571,2.5,-2.50571,55.0
1.0,-0.0169,2.5,-2.5169,56.0
4.0,0.02109,2.5,-2.47891,57.0
4.0,0.02213,2.5,-2.47787,58.0
5.0,0.04302,2.5,-2.45698,59.0
2.0,0.00169,2.5,-2.49831,60.0
2.0,0.0017,2.5,-2.4983,61.0
4.0,0.0355,2.5,-2.4645,62.0
4.0,0.03605,2.5,-2.46395,63.0
