Aleatório,Estimado,Correto,Diferença,K
2.0,0.36797,0.0,0.36797,398.0
3.0,0.0,0.0,0.0,0.0
3.0,0.09231,0.0,0.09231,1.0
4.0,0.00419,0.0,0.00419,2.0
4.0,0.00263,0.0,0.00263,3.0
2.0,-0.03043,0.0,-0.03043,4.0
4.0,-0.07328,0.0,-0.07328,5.0
1.0,-0.01209,0.0,-0.01209,6.0
1.0,0.0057,0.0,0.0057,7.0
5.0,-0.1722,0.0,-0.1722,8.0
5.0,-0.04281,0.0,-0.04281,9.0
2.0,0.00021,0.0,0.00021,10.0
5.0,0.02133,0.0,0.02133,11.0
1.0,-0.04676,0.0,-0.04676,12.0
4.0,-0.01241,0.0,-0.01241,13.0
1.0,-0.00676,0.0,-0.00676,14.0
3.0,-0.14781,0.0,-0.14781,15.0
4.0,0.05776,0.0,0.05776,16.0
2.0,-0.00331,0.0,-0.00331,17.0
3.0,2.96898,0.0,2.96898,18.0
2.0,-0.00249,0.0,-0.00249,19.0
3.0,0.23568,0.0,0.23568,20.0
4.0,0.08552,0.0,0.08552,21.0
1.0,0.02864,0.0,0.02864,22.0
1.0,0.03281,0.0,0.03281,23.0
1.0,1.67073,0.0,1.67073,24.0
4.0,0.01682,0.0,0.01682,25.0
2.0,0.0501,0.0,0.0501,26.0
1.0,0.00338,0.0,0.00338,27.0
1.0,0.00882,0.0,0.00882,28.0
5.0,0.04614,0.0,0.04614,29.0
5.0,1.82716,0.0,1.82716,30.0
5.0,0.09417,0.0,0.09417,31.0
5.0,0.12814,0.0,0.12814,32.0
3.0,0.01302,0.0,0.01302,33.0
3.0,0.2656,0.0,0.2656,34.0
2.0,0.01524,0.0,0.01524,35.0
1.0,0.03285,0.0,0.03285,36.0
4.0,-0.05985,0.0,-0.05985,37.0
1.0,0.00853,0.0,0.00853,38.0
1.0,0.01251,0.0,0.01251,39.0
1.0,0.26755,0.0,0.26755,40.0
5.0,0.15889,0.0,0.15889,41.0
2.0,0.258,0.0,0.258,42.0
1.0,0.16528,0.0,0.16528,43.0
3.0,0.03334,0.0,0.03334,44.0
1.0,0.1276,0.0,0.1276,45.0
3.0,0.12824,0.0,0.12824,46.0
5.0,2.84769,0.0,2.84769,47.0
5.0,0.09936,0.0,0.09936,48.0
3.0,0.12571,0.0,0.12571,49.0
5.0,4.69642,0.0,4.69642,50.0
4.0,0.06126,0.0,0.06126,51.0
2.0,0.0623,0.0,0.0623,52.0
2.0,0.04852,0.0,0.04852,53.0
5.0,0.03427,0.0,0.03427,54.0
5.0,0.23646,0.0,0.23646,55.0
1.0,-0.00862,0.0,-0.00862,56.0
1.0,0.04893,0.0,0.04893,57.0
